ion_mass;ion_formula;formula;mass_monoiso;name_iupac;pubchem_cid;CAS_number
85,1011765;[C6H12+H]+;C6H12;84,0939;cyclopropane, 1-ethyl-2- methyl-, cis-;NA;19217-47-1
85,1011765;[C6H12+H]+;C6H12;84,0939;3-hexene;NA;592-47-2
85,1011765;[C6H12+H]+;C6H12;84,0939;2-hexene;NA;592-43-8
85,1011765;[C6H12+H]+;C6H12;84,0939;3-methyl-2-pentene;NA;922-61-2
85,1011765;[C6H12+H]+;C6H12;84,0939;methyl-2-pentene;NA;na
85,1011765;[C6H12+H]+;C6H12;84,0939;4-methyl-2-pentene / 1,1- dimethyl-2-butene (cis,trans);NA;4461-48-7
85,1011765;[C6H12+H]+;C6H12;84,0939;3-methyl-2-pentene, (Z)-;NA;922-62-3
85,9965675;[H2F2NP+H]+;H2F2NP;84,989292;phosphoramidous difluoride;NA;25757-74-8
86,0058965;[C3H3NS+H]+;C3H3NS;84,99862027;thiazole;9256;288-47-1
86,0600395;[C4H7NO+H]+;C4H7NO;85,052764;2-oxopyrrolidine / 2- pyrrolidone;NA;616-45-5
87,0440545;[C4H6O2+H]+;C4H6O2;86,03677943;butane-2,3-dione;650;431-03-8
87,0440545;[C4H6O2+H]+;C4H6O2;86,03677943;(E)-but-2-enoic acid;637090;107-93-7
87,0440545;[C4H6O2+H]+;C4H6O2;86,03677943;tetrahydrofuran-2-one;7302;96-48-0
87,0440545;[C4H6O2+H]+;C4H6O2;86,03677943;2,3-dihydro-1,4-dioxine;136353;543-75-9
87,0440545;[C4H6O2+H]+;C4H6O2;86,03678;acetic acid, ethenyl ester / vinyl acetate;NA;108-05-4
87,0440545;[C4H6O2+H]+;C4H6O2;86,03678;2-butenal / crotonaldehyde;NA;4170-30-3
87,0804405;[C5H10O+H]+;C5H10O;86,07316494;3-methylbutanal;11552;590-86-3
87,0804405;[C5H10O+H]+;C5H10O;86,07316494;2-methylbutanal;7284;96-17-3
87,0804405;[C5H10O+H]+;C5H10O;86,07316494;3-methylbutan-2-one;11251;563-80-4
87,0804405;[C5H10O+H]+;C5H10O;86,07316494;pentanal;8063;110-62-3
87,0804405;[C5H10O+H]+;C5H10O;86,07316494;pentan-2-one;7895;107-87-9
87,0804405;[C5H10O+H]+;C5H10O;86,073165;cyclopentanol;NA;96-41-3
