formula;mass;pubChemId
C4H4N2;80.09;"s<br>Piazine (obsol.)<br>1, 4-Diazabenzene<br>PubChem16607<br>Pyrazine, >=99%<br>AC1L1SOJ<br>ACMC-20aj34<br>AC1Q2AS8<br>DSSTox_CID_29370<br>DSSTox_RID_83485<br>DSSTox_GSID_49410<br>Pyrazine, >=99%, FG<br>Pyrazine, analytical standard<br>CHEMBL15797<br>Jsp005543<br>DTXSID8049410<br>MolPort-000-158-413<br>EBD21641<br>STR04325<br>ZINC1692439<br>Tox21_202911<br>9248AD<br>ANW-75662<br>BBL027560<br>NSC400221<br>STL373491<br>AKOS006223200<br>Pyrazine, purum, >=98.0% (GC)<br>LS20037<br>MCULE-7343822850<br>NSC-400221<br>RP08214<br>UN 1325<br>VP40092<br>NCGC00260457-01<br>AJ-30139<br>AN-23350<br>BP-10420<br>CAS-290-37-9<br>CJ-06509<br>CJ-28223<br>KB-60055<br>SC-25978<br>DB-003769<br>LS-127556<br>TC-030267<br>TC-164407<br>FT-0602797<br>P0544<br>ST24049051<br>EN300-72616<br>5729-EP0930075A1<br>5729-EP2269975A2<br>5729-EP2269978A2<br>5729-EP2269985A2<br>5729-EP2269990A1<br>5729-EP2269991A2<br>5729-EP2269997A2<br>5729-EP2270006A1<br>5729-EP2270010A1<br>5729-EP2270113A1<br>5729-EP2270505A1<br>5729-EP2272509A1<br>5729-EP2272517A1<br>5729-EP2272813A2<br>5729-EP2272827A1<br>5729-EP2272828A1<br>5729-EP2272832A1<br>5729-EP2272841A1<br>5729-EP2272849A1<br>5729-EP2272935A1<br>5729-EP2272972A1<br>5729-EP2272973A1<br>5729-EP2275395A2<br>5729-EP2275401A1<br>5729-EP2275404A1<br>5729-EP2275409A1<br>5729-EP2275411A2<br>5729-EP2275412A1<br>5729-EP2275415A2<br>5729-EP2277858A1<br>5729-EP2277872A1<br>5729-EP2280000A1<br>5729-EP2280008A2<br>5729-EP2280009A1<br>5729-EP2280011A1<br>5729-EP2281563A1<br>5729-EP2281815A1<br>5729-EP2281818A1<br>5729-EP2281819A1<br>5729-EP2281861A2<br>5729-EP2284149A1<br>5729-EP2284150A2<br>5729-EP2284151A2<br>5729-EP2284152A2<br>5729-EP2284153A2<br>5729-EP2284155A2<br>5729-EP2284156A2<br>5729-EP2284157A1<br>5729-EP2284164A2<br>5729-EP2284920A1<br>5729-EP2287140A2<br>5729-EP2287148A2<br>5729-EP2287150A2<br>5729-EP2287167A1<br>5729-EP2289871A1<br>5729-EP2292586A2<br>5729-EP2292590A2<br>5729-EP2292592A1<br>5729-EP2292593A2<br>5729-EP2292597A1<br>5729-EP2292604A2<br>5729-EP2292611A1<br>5729-EP2292619A1<br>5729-EP2292630A1<br>5729-EP2295419A2<br>5729-EP2295421A1<br>5729-EP2295426A1<br>5729-EP2295427A1<br>5729-EP2295429A1<br>5729-EP2295432A1<br>5729-EP2295433A2<br>5729-EP2295503A1<br>5729-EP2298731A1<br>5729-EP2298732A1<br>5729-EP2298750A1<br>5729-EP2298755A1<br>5729-EP2298767A1<br>5729-EP2298770A1<br>5729-EP2298774A1<br>5729-EP2298828A1<br>5729-EP2301534A1<br>5729-EP2301536A1<br>5729-EP2301538A1<br>5729-EP2301912A2<br>5729-EP2301913A1<br>5729-EP2301914A1<br>5729-EP2301916A2<br>5729-EP2301918A1<br>5729-EP2301921A1<br>5729-EP2301923A1<br>5729-EP2301926A1<br>5729-EP2301936A1<br>5729-EP2301937A1<br>5729-EP2301983A1<br>5729-EP2305219A1<br>5729-EP2305250A1<br>5729-EP2305637A2<br>5729-EP2305643A1<br>5729-EP2305648A1<br>5729-EP2305651A1<br>5729-EP2305652A2<br>5729-EP2305657A2<br>5729-EP2305658A1<br>5729-EP2305659A1<br>5729-EP2305688A1<br>5729-EP2305695A2<br>5729-EP2305696A2<br>5729-EP2305697A2<br>5729-EP2305698A2<br>5729-EP2308510A1<br>5729-EP2308562A2<br>5729-EP2308812A2<br>5729-EP2308832A1<br>5729-EP2308839A1<br>5729-EP2308848A1<br>5729-EP2308849A1<br>5729-EP2308850A1<br>5729-EP2308854A1<br>5729-EP2308863A1<br>5729-EP2308880A1<br>5729-EP2310391A1<br>5729-EP2311451A1<br>5729-EP2311455A1<br>5729-EP2311796A1<br>5729-EP2311797A1<br>5729-EP2311798A1<br>5729-EP2311799A1<br>5729-EP2311818A1<br>5729-EP2311825A1<br>5729-EP2311842A2<br>5729-EP2314295A1<br>5729-EP2314575A1<br>5729-EP2314582A1<br>5729-EP2314583A1<br>5729-EP2314587A1<br>5729-EP2314590A1<br>5729-EP2315303A1<br>5729-EP2315502A1<br>5729-EP2316450A1<br>5729-EP2316452A1<br>5729-EP2316459A1<br>5729-EP2316470A2<br>5729-EP2316832A1<br>5729-EP2316833A1<br>5729-EP2316905A1<br>5729-EP2316906A2<br>5729-EP2371810A1<br>5729-EP2371811A2<br>5729-EP2371812A1<br>5729-EP2371831A1<br>5729-EP2372804A1<br>5729-EP2378585A1<br>S-8056<br>142241-EP2270010A1<br>142241-EP2292593A2<br>A819731<br>Q-100368<br>InChI=1C4H4N2c1-2-6-4-3-5-1h1-4<br>F0001-0907<br>1339899-95-4<br><td>
<tr>
<tr>
<td>PubChem CID<td>
<td><a href=https:pubchem.ncbi.nlm.nih.govcompound9261"
C5H5N;79.102;1049
C8H8;104.152;7501
O2S;64.058;1119
C2Cl4;165.822;31373
C9H20N2O;172.272;14465
C4H12Ge;132.77;70079
C5H12N2S;132.225;17725
C3H3NS;85.124;9256
C4H4S;84.136;8030
C7H8;92.141;1140
C6H3Cl3;181.44;7950
C2HCl3;131.38;6575
C13H26O2;214.349;12530
C13H28O;200.366;8207
C3H9NO;75.111;1145
C11H7ClO3;222.624;79416
C7H11N;109.172;16620
C11H22O;170.296;8186
C11H20O;168.28;5283356
C2H3Cl;62.496;6338
C8H10O;122.167;7948
C6H12O2;116.16;8038
C4H8O2;88.106;8857
